setNum;name_en;name_de;year;recommendedRetailPrice €
4644;Marina;LEGO® City 4644 Strandpromenade;2011;49.99
4645;Harbor;LEGO® City 4645 Hafen;2011;79.99
4736;Freeing Dobby;LEGO® Harry Potter 4736 Dobbys Befreiung;2010;13.99
4737;Quidditch Match;LEGO® Harry Potter 4737 Quidditch Match;2010;25.99
4738;Hagrid's Hut (3rd edition);LEGO® Harry Potter 4738 Hagrids Hütte;2010;49.99
4840;The Burrow;LEGO® Harry Potter 4840 The Burrow;2010;69.99
4842;Hogwarts Castle [Fourth Edition];LEGO® Harry Potter 4842 Hogwarts Castle;2010;129.99
4865;The Forbidden Forest;LEGO® Harry Potter 4865 The Forbidden Forest;2011;14.99
4866;The Knight Bus;LEGO® Harry Potter 4866 Der Fahrende Ritter;2011;39.99
4867;Hogwarts;LEGO® Harry Potter 4867 Hogwarts;2011;59.99
4962;Baby Zoo;LEGO® Duplo 4962 Tierbabys;2006;12.99
5506;Large Brick Box;LEGO® Duplo 5506 Große Steinebox;2010;27.99
5507;Deluxe Brick Box;LEGO® Duplo 5507 Deluxe Steinebox;2010;44.99
5508;Deluxe Brick Box;LEGO® Bricks and More 5508 Deluxe Steinebox;2010;44.99
5509;Basic Bricks;LEGO® Duplo 5509 Duplo Basic Bricks;2010;12.99
5529;Basic Bricks;LEGO® Bricks and More 5529 Basic Bricks;2010;12.99
5549;Building Fun;LEGO® Bricks and More 5549 Bausteine Box Sommer-Bauspaß 650 Teile;2010;24.99
5649;Big Farm;LEGO® Duplo 5649 Großer Bauernhof;2010;59.99
5654;Fishing Trip;LEGO® Duplo 5654 Fishing Trip;2010;16.99
5655;Caravan;LEGO® Duplo 5655 Wohnwagen;2010;34.99
5656;Pet Shop;LEGO® Duplo 5656 Zoohandlung;2010;24.99
5679;Police Bike;LEGO® Duplo 5679 Motorradpolizist;2011;9.99
5681;Police Station;LEGO® Duplo 5681 Police Station;2011;59.99
5682;Fire Truck;LEGO® Duplo 5682 Feuerwehrwagen;2011;29.99
5683;Market Place;LEGO® Duplo 5683 Marktstand;2011;24.99
5684;Car Transporter;LEGO® Duplo 5684 Car Transporter;2011;29.99
5685;Vet;LEGO® Duplo 5685 Tierärztin;2011;4.99
5748;Creative Building Kit;LEGO® Duplo 5748 Creative Building Kit;2011;24.99
5763;Dune Hopper;LEGO® Creator 5763 Dune Hopper;2011;9.99
5764;Rescue Robot;LEGO® Creator 5764 inkl. Leucht Baustein;2011;14.99
5765;Transport Truck;LEGO® Creator 5765 Creator 5765 Tieflader mit Helikopter;2011;19.99
5766;Log Cabin;LEGO® Creator 5766 Blockhaus;2011;29.99
5767;Cool Cruiser;LEGO® Creator 5767 Gelbes Cabrio V110;2011;39.99
5770;Lighthouse Island;LEGO® Creator 5770 Leuchtturm;2011;39.99
5793;Nurse's Car;LEGO® Duplo 5793 Nurse's Car;2011;9.99
5794;Emergency Helicopter;LEGO® Duplo 5794 Rettungshubschrauber;2011;19.99
5795;Big City Hospital;LEGO® Duplo 5795 Großes Stadtkrankenhaus;2011;89.99
5813;Lightning McQueen;LEGO® Duplo 5813 Lightning McQueen;2010;14.99
5816;Mack's Road Trip;LEGO® Duplo 5816 Mack auf großer Fahrt;2010;49.99
5817;Agent Mater;LEGO® Duplo 5817 Hook als Agent;2011;14.99
5819;Tokyo Racing;LEGO® Duplo 5819 Tokyo Racing;2011;29.99
5828;Big Bentley;LEGO® Duplo 5828 Big Bentley;2011;39.99
5839;World Grand Prix;LEGO® Duplo 5839 World Grand Prix;2011;39.99
5864;Mini Helicopter;LEGO® Creator 5864 Mini Helicopter;2010;4.99
5865;Mini Dumper;LEGO® Creator 5865 Mini Dumper;2010;4.99
5866;Rotor Rescue;LEGO® Creator 5866 Rettungshelikopter;2010;9.99
5867;Super Speedster;LEGO® Creator 5867 Roter Sportwagen;2010;19.99
5868;Ferocious Creatures;LEGO® Creator 5868 Ferocious Creatures;2010;26.99
5884;Raptor Chase;LEGO® Dino 5884 Jagd nach dem Raptor;2012;29.99
5885;Triceratops Trapper;LEGO® Dino 5885 Begegnung mit dem Triceratops;2012;49.99
5886;T-Rex Hunter;LEGO® Dino 5886 T-Rex Hunter;2012;69.99
5887;Dino Defense HQ;LEGO® Dino 5887 Dinosaurier Forschungsstation;2012;99.99
5888;Ocean Interceptor;LEGO® Dino 5888 Flucht des Pteranodon;2012;34.99
5891;Apple Tree House;LEGO® Creator 5891 Haus mit Garage;2010;39.99
5892;Sonic Boom;LEGO® Creator 5892 Sonic Boom;2010;49.99
5893;Offroad Power;LEGO® Creator 5893 Geländewagen mit Quad;2010;69.99
5898;Car Building Set;LEGO® Bricks and More 5898 Cars Building Set;2010;7.99
5930;Road Construction;LEGO® Bricks and More 5930 Bausteine Straßenbau;2011;7.99
